Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Performer	Labeled Extract Name	Protocol REF	Parameter Value[instrument]	Parameter Value[injection_mode]	Parameter Value[acquisition_mode]	MS Assay Name	Performer	Raw Data File	Raw Data File
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-33	Ellipsis	raw spectral data file_3-35	raw spectral data file_3-35
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-18	Ellipsis	raw spectral data file_3-20	raw spectral data file_3-20
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-4	Ellipsis	raw spectral data file_3-6	raw spectral data file_3-6
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-10	Ellipsis	raw spectral data file_3-12	raw spectral data file_3-12
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-13	Ellipsis	raw spectral data file_3-15	raw spectral data file_3-15
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-7	Ellipsis	raw spectral data file_3-9	raw spectral data file_3-9
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-56	Ellipsis	raw spectral data file_3-58	raw spectral data file_3-58
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-36	Ellipsis	raw spectral data file_3-38	raw spectral data file_3-38
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-27	Ellipsis	raw spectral data file_3-29	raw spectral data file_3-29
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-42	Ellipsis	raw spectral data file_3-44	raw spectral data file_3-44
